k1_name;k2_name;k1_blocks_per_grid;k2_blocks_per_grid;k1_threads_per_block;k2_threads_per_block;k1_registers;k2_registers;k1_shared_mem_B;k2_shared_mem_B;classification
S_O5;S_O5;3;3;66;66;16;16;0;0;1
S_O5;R_N1;3;3;66;18;16;53;0;1024;1
S_O5;S_J4;3;3;66;258;16;18;0;0;0
S_O5;S_K4;3;10;66;258;16;16;0;16;1
S_O5;R_S4;3;4;66;514;16;16;0;0;0
S_O5;S_J5;3;3;66;258;16;16;0;0;1
S_O5;S_O2;3;3;66;3;16;16;0;0;1
S_O5;S_O4;3;3;66;66;16;55;0;776;0
R_N1;S_O5;3;3;18;66;53;16;1024;0;1
R_N1;R_N1;3;3;18;18;53;53;1024;1024;1
R_N1;S_J4;3;3;18;258;53;18;1024;0;1
R_N1;R_S3;3;4;18;514;53;26;1024;16;1
R_N1;P_K1;3;3;18;258;53;33;1024;13312;1
R_N1;S_K4;3;10;18;258;53;16;1024;16;1
R_N1;S_K1;3;10;18;258;53;17;1024;2048;1
R_N1;R_T1;3;10;18;130;53;16;1024;0;1
R_N1;R_S4;3;4;18;514;53;16;1024;0;1
R_N1;S_J5;3;3;18;258;53;16;1024;0;1
R_N1;S_O2;3;3;18;3;53;16;1024;0;1
R_N1;S_O4;3;3;18;66;53;55;1024;776;0
R_N1;R_E2;3;3;18;514;53;17;1024;0;1
R_N1;R_P1;3;4;18;34;53;94;1024;0;0
S_J4;S_O5;3;3;258;66;18;16;0;0;0
S_J4;R_N1;3;3;258;18;18;53;0;1024;1
S_J4;S_J4;3;3;258;258;18;18;0;0;1
S_J4;R_S3;3;4;258;514;18;26;0;16;1
S_J4;S_K4;3;10;258;258;18;16;0;16;1
S_J4;R_S4;3;4;258;514;18;16;0;0;0
S_J4;S_O2;3;3;258;3;18;16;0;0;1
R_S3;R_N1;4;3;514;18;26;53;16;1024;1
R_S3;S_O2;4;3;514;3;26;16;16;0;1
R_S3;S_O4;4;3;514;66;26;55;16;776;1
P_K1;R_N1;3;3;258;18;33;53;13312;1024;1
P_K1;P_K1;3;3;258;258;33;33;13312;13312;1
P_K1;R_T1;3;10;258;130;33;16;13312;0;1
P_K1;S_O2;3;3;258;3;33;16;13312;0;1
P_K1;S_O4;3;3;258;66;33;55;13312;776;0
