k1_name;k2_name;k1_blocks_per_grid;k2_blocks_per_grid;k1_threads_per_block;k2_threads_per_block;k1_registers;k2_registers;k1_shared_mem_B;k2_shared_mem_B;classification
S_O5;S_O5;3;3;66;66;12;12;0;0;1
R_S3;R_S3;4;4;514;514;23;23;16;16;1
R_S3;P_K1;4;3;514;258;23;28;16;13312;1
R_S3;S_K4;4;10;514;258;23;8;16;16;0
R_S3;S_K1;4;10;514;258;23;14;16;2048;0
R_S3;R_T1;4;10;514;130;23;10;16;0;1
R_S3;R_S4;4;4;514;514;23;10;16;0;1
R_S3;S_L8;4;10;514;130;23;20;16;0;1
R_S3;S_J5;4;3;514;258;23;8;16;0;0
R_S3;S_O2;4;3;514;3;23;10;16;0;1
R_S3;S_O4;4;3;514;66;23;48;16;776;1
R_S3;R_E2;4;3;514;514;23;14;16;0;1
R_S3;R_P1;4;4;514;34;23;78;16;0;1
P_K1;R_S3;3;4;258;514;28;23;13312;16;1
P_K1;R_T1;3;10;258;130;28;10;13312;0;0
P_K1;R_S4;3;4;258;514;28;10;13312;0;1
S_K4;R_S3;10;4;258;514;8;23;16;16;0
S_K4;R_T1;10;10;258;130;8;10;16;0;0
S_K4;S_O4;10;3;258;66;8;48;16;776;0
S_K1;R_S3;10;4;258;514;14;23;2048;16;0
S_K1;R_T1;10;10;258;130;14;10;2048;0;0
S_K1;S_O2;10;3;258;3;14;10;2048;0;1
S_K1;S_O4;10;3;258;66;14;48;2048;776;1
R_T1;R_S3;10;4;130;514;10;23;0;16;1
R_T1;P_K1;10;3;130;258;10;28;0;13312;0
R_T1;S_K4;10;10;130;258;10;8;0;16;0
R_T1;S_K1;10;10;130;258;10;14;0;2048;0
R_T1;R_T1;10;10;130;130;10;10;0;0;1
R_T1;R_S4;10;4;130;514;10;10;0;0;1
R_T1;S_L8;10;10;130;130;10;20;0;0;0
R_T1;S_J5;10;3;130;258;10;8;0;0;0
R_T1;S_O4;10;3;130;66;10;48;0;776;1
R_T1;R_E2;10;3;130;514;10;14;0;0;0
R_T1;R_P1;10;4;130;34;10;78;0;0;1
R_S4;R_S3;4;4;514;514;10;23;0;16;1
R_S4;R_T1;4;10;514;130;10;10;0;0;1
