k1_name;k2_name;k1_blocks_per_grid;k2_blocks_per_grid;k1_threads_per_block;k2_threads_per_block;k1_registers;k2_registers;k1_shared_mem_B;k2_shared_mem_B;attempts_of_5;classification
S_O5;S_O5;3;3;66;66;12;12;0;0;4;1
S_O5;R_N1;3;3;66;18;12;32;0;1024;0;0
S_O5;S_J4;3;3;66;258;12;8;0;0;0;0
S_O5;R_S3;3;4;66;514;12;23;0;16;0;0
S_O5;P_K1;3;3;66;258;12;28;0;13312;0;0
S_O5;S_K4;3;10;66;258;12;8;0;16;0;0
S_O5;S_K1;3;10;66;258;12;14;0;2048;0;0
S_O5;R_T1;3;10;66;130;12;10;0;0;0;0
S_O5;R_S4;3;4;66;514;12;10;0;0;0;0
S_O5;S_L8;3;10;66;130;12;20;0;0;0;0
S_O5;S_J5;3;3;66;258;12;8;0;0;0;0
S_O5;S_O2;3;3;66;3;12;10;0;0;2;0
S_O5;S_O4;3;3;66;66;12;48;0;776;1;0
S_O5;R_E2;3;3;66;514;12;14;0;0;0;0
S_O5;R_P1;3;4;66;34;12;78;0;0;0;0
R_N1;S_O5;3;3;18;66;32;12;1024;0;0;0
R_N1;R_N1;3;3;18;18;32;32;1024;1024;2;0
R_N1;S_J4;3;3;18;258;32;8;1024;0;0;0
R_N1;R_S3;3;4;18;514;32;23;1024;16;0;0
R_N1;P_K1;3;3;18;258;32;28;1024;13312;0;0
R_N1;S_K4;3;10;18;258;32;8;1024;16;0;0
R_N1;S_K1;3;10;18;258;32;14;1024;2048;0;0
R_N1;R_T1;3;10;18;130;32;10;1024;0;0;0
R_N1;R_S4;3;4;18;514;32;10;1024;0;0;0
R_N1;S_L8;3;10;18;130;32;20;1024;0;0;0
R_N1;S_J5;3;3;18;258;32;8;1024;0;0;0
R_N1;S_O2;3;3;18;3;32;10;1024;0;0;0
R_N1;S_O4;3;3;18;66;32;48;1024;776;0;0
R_N1;R_E2;3;3;18;514;32;14;1024;0;0;0
R_N1;R_P1;3;4;18;34;32;78;1024;0;0;0
S_J4;S_O5;3;3;258;66;8;12;0;0;0;0
S_J4;R_N1;3;3;258;18;8;32;0;1024;0;0
S_J4;S_J4;3;3;258;258;8;8;0;0;0;0
S_J4;R_S3;3;4;258;514;8;23;0;16;0;0
S_J4;P_K1;3;3;258;258;8;28;0;13312;0;0
S_J4;S_K4;3;10;258;258;8;8;0;16;0;0
S_J4;S_K1;3;10;258;258;8;14;0;2048;0;0
S_J4;R_T1;3;10;258;130;8;10;0;0;0;0
S_J4;R_S4;3;4;258;514;8;10;0;0;0;0
S_J4;S_L8;3;10;258;130;8;20;0;0;0;0
S_J4;S_J5;3;3;258;258;8;8;0;0;0;0
S_J4;S_O2;3;3;258;3;8;10;0;0;0;0
S_J4;S_O4;3;3;258;66;8;48;0;776;0;0
S_J4;R_E2;3;3;258;514;8;14;0;0;0;0
S_J4;R_P1;3;4;258;34;8;78;0;0;0;0
R_S3;S_O5;4;3;514;66;23;12;16;0;0;0
R_S3;R_N1;4;3;514;18;23;32;16;1024;0;0
R_S3;S_J4;4;3;514;258;23;8;16;0;0;0
R_S3;R_S3;4;4;514;514;23;23;16;16;5;1
R_S3;P_K1;4;3;514;258;23;28;16;13312;5;1
R_S3;S_K4;4;10;514;258;23;8;16;16;5;1
R_S3;S_K1;4;10;514;258;23;14;16;2048;5;1
R_S3;R_T1;4;10;514;130;23;10;16;0;5;1
R_S3;R_S4;4;4;514;514;23;10;16;0;4;1
R_S3;S_L8;4;10;514;130;23;20;16;0;5;1
R_S3;S_J5;4;3;514;258;23;8;16;0;5;1
R_S3;S_O2;4;3;514;3;23;10;16;0;4;1
R_S3;S_O4;4;3;514;66;23;48;16;776;5;1
R_S3;R_E2;4;3;514;514;23;14;16;0;5;1
R_S3;R_P1;4;4;514;34;23;78;16;0;5;1
P_K1;S_O5;3;3;258;66;28;12;13312;0;0;0
P_K1;R_N1;3;3;258;18;28;32;13312;1024;0;0
P_K1;S_J4;3;3;258;258;28;8;13312;0;0;0
P_K1;R_S3;3;4;258;514;28;23;13312;16;5;1
P_K1;P_K1;3;3;258;258;28;28;13312;13312;0;0
P_K1;S_K4;3;10;258;258;28;8;13312;16;0;0
P_K1;S_K1;3;10;258;258;28;14;13312;2048;0;0
P_K1;R_T1;3;10;258;130;28;10;13312;0;5;1
P_K1;R_S4;3;4;258;514;28;10;13312;0;4;1
P_K1;S_L8;3;10;258;130;28;20;13312;0;0;0
P_K1;S_J5;3;3;258;258;28;8;13312;0;0;0
P_K1;S_O2;3;3;258;3;28;10;13312;0;1;0
P_K1;S_O4;3;3;258;66;28;48;13312;776;3;0
P_K1;R_E2;3;3;258;514;28;14;13312;0;0;0
P_K1;R_P1;3;4;258;34;28;78;13312;0;2;0
S_K4;S_O5;10;3;258;66;8;12;16;0;0;0
S_K4;R_N1;10;3;258;18;8;32;16;1024;0;0
S_K4;S_J4;10;3;258;258;8;8;16;0;0;0
S_K4;R_S3;10;4;258;514;8;23;16;16;5;1
S_K4;P_K1;10;3;258;258;8;28;16;13312;0;0
S_K4;S_K4;10;10;258;258;8;8;16;16;1;0
S_K4;S_K1;10;10;258;258;8;14;16;2048;0;0
S_K4;R_T1;10;10;258;130;8;10;16;0;5;1
S_K4;R_S4;10;4;258;514;8;10;16;0;2;0
S_K4;S_L8;10;10;258;130;8;20;16;0;0;0
S_K4;S_J5;10;3;258;258;8;8;16;0;0;0
S_K4;S_O2;10;3;258;3;8;10;16;0;1;0
S_K4;S_O4;10;3;258;66;8;48;16;776;5;1
S_K4;R_E2;10;3;258;514;8;14;16;0;0;0
S_K4;R_P1;10;4;258;34;8;78;16;0;0;0
S_K1;S_O5;10;3;258;66;14;12;2048;0;1;0
S_K1;R_N1;10;3;258;18;14;32;2048;1024;0;0
S_K1;S_J4;10;3;258;258;14;8;2048;0;0;0
S_K1;R_S3;10;4;258;514;14;23;2048;16;5;1
