k1_name;k2_name;classification;knn;logistic_regression;mlp;xgb
S_O5;S_O5;1;1;1;0;1
R_S3;R_S3;1;0;1;0;1
R_S3;P_K1;1;0;1;0;1
R_S3;S_K4;0;0;1;1;1
R_S3;S_K1;0;1;0;1;1
R_S3;R_T1;1;0;1;0;1
R_S3;R_S4;1;0;1;0;1
R_S3;S_L8;1;1;1;1;0
R_S3;S_J5;0;0;1;0;0
R_S3;S_O2;1;0;1;0;1
R_S3;S_O4;1;0;1;0;1
R_S3;R_E2;1;1;1;1;1
R_S3;R_P1;1;0;0;0;0
P_K1;R_S3;1;1;0;1;0
P_K1;R_T1;0;1;0;1;0
P_K1;R_S4;1;1;0;1;1
S_K4;R_S3;0;0;0;0;0
S_K4;R_T1;0;0;0;0;0
S_K4;S_O4;0;1;0;0;1
S_K1;R_S3;0;0;0;0;1
S_K1;R_T1;0;1;0;1;1
S_K1;S_O2;1;1;0;1;1
S_K1;S_O4;1;0;1;0;0
R_T1;R_S3;1;1;0;1;1
R_T1;P_K1;0;0;0;0;0
R_T1;S_K4;0;1;0;1;0
R_T1;S_K1;0;0;1;0;0
R_T1;R_T1;1;0;1;1;0
R_T1;R_S4;1;0;0;0;1
R_T1;S_L8;0;1;0;1;1
R_T1;S_J5;0;1;0;1;1
R_T1;S_O4;1;0;1;1;0
R_T1;R_E2;0;0;0;0;0
R_T1;R_P1;1;0;1;1;1
R_S4;R_S3;1;0;0;0;1
R_S4;R_T1;1;1;0;1;1
R_S4;R_S4;1;0;0;0;0
R_S4;S_L8;0;0;0;0;1
R_S4;S_O2;0;1;0;1;1
R_S4;S_O4;1;1;0;1;0
R_S4;R_E2;0;0;0;1;1
R_S4;R_P1;1;0;1;0;1
S_L8;R_S3;1;1;0;0;0
S_L8;R_T1;0;0;0;0;0
S_L8;R_S4;0;0;0;0;0
S_L8;S_O4;1;1;0;1;0
S_L8;R_P1;1;1;0;1;1
S_J5;R_S3;0;1;0;1;1
S_J5;R_T1;0;1;0;0;0
S_J5;R_S4;0;0;0;1;0
S_J5;S_O4;1;0;0;0;0
S_O2;R_S3;1;0;0;1;0
S_O2;R_T1;0;1;0;1;0
S_O2;S_O2;1;0;0;0;0
S_O2;S_O4;1;0;0;0;0
S_O4;R_S3;1;0;0;0;0
S_O4;P_K1;1;0;1;0;0
S_O4;S_K4;1;1;0;0;0
S_O4;S_K1;1;0;0;1;1
S_O4;R_T1;1;0;1;0;0
S_O4;R_S4;1;0;1;0;0
S_O4;S_L8;1;0;0;0;1
S_O4;S_J5;1;0;0;0;1
S_O4;S_O2;1;0;0;1;0
S_O4;S_O4;1;1;1;1;0
S_O4;R_E2;1;1;0;1;1
S_O4;R_P1;1;1;0;1;0
R_E2;R_S3;0;0;0;0;0
R_E2;R_T1;0;0;0;0;0
R_E2;R_S4;0;0;0;0;0
R_E2;S_O4;1;0;0;0;0
R_P1;R_S3;1;0;0;0;0
R_P1;P_K1;1;0;0;1;0
R_P1;R_T1;1;1;0;1;0
R_P1;R_S4;1;0;0;0;0
R_P1;S_O4;1;1;0;1;1
S_O5;P_E8;1;1;0;1;1
S_O5;R_X2;1;0;0;0;0
S_O5;P_D1;0;0;0;0;0
S_O5;R_X1;0;1;0;0;1
S_O5;R_H1;0;1;0;1;1
S_O5;P_H1;1;0;0;0;0
R_N1;P_E8;1;0;0;0;0
R_N1;P_I1;1;1;0;1;1
S_J4;P_E8;0;1;0;1;0
R_S3;S_O1;1;1;0;0;0
R_S3;P_E8;1;1;0;0;0
R_S3;R_X2;0;1;0;1;1
R_S3;R_D2;0;0;1;0;1
R_S3;P_D1;0;1;0;1;1
R_S3;R_X1;0;1;0;1;1
R_S3;P_J1;1;0;0;0;0
R_S3;R_H1;0;0;0;1;0
R_S3;R_I1;0;1;0;0;0
R_S3;P_H1;1;1;0;1;0
R_S3;P_F1;1;0;0;0;0
R_S3;P_G3;0;0;0;0;0
P_K1;P_E8;1;0;0;1;0
P_K1;P_D1;1;0;0;0;0
P_K1;P_J1;0;0;0;0;1
P_K1;R_H1;0;0;0;0;0
P_K1;R_I1;0;1;1;1;1
P_K1;P_H1;0;0;0;1;0
P_K1;P_F1;0;0;1;0;1
S_K4;P_E8;0;1;0;1;1
S_K4;P_D1;1;1;0;1;1
S_K4;R_X1;0;0;0;0;1
S_K4;P_J1;0;1;0;0;0
S_K4;R_H1;0;1;0;0;0
S_K4;P_H1;0;0;0;0;0
S_K1;P_E8;0;0;0;0;0
S_K1;P_D1;1;1;1;0;1
S_K1;R_X1;0;0;0;1;0
S_K1;R_H1;0;0;0;0;1
S_K1;R_I1;0;0;0;0;0
S_K1;P_H1;0;0;1;1;0
R_T1;S_O1;1;0;1;1;0
R_T1;P_E8;0;1;0;1;1
R_T1;R_X2;1;1;0;1;1
R_T1;R_D2;0;0;0;0;0
R_T1;P_D1;0;1;0;1;1
R_T1;R_X1;0;1;0;1;0
R_T1;P_J1;0;0;0;0;0
R_T1;R_H1;0;1;0;0;1
R_T1;R_I1;0;0;0;0;0
R_T1;P_H1;1;1;0;1;1
R_T1;P_F1;1;1;0;1;1
R_T1;P_G3;0;0;0;0;0
R_S4;S_O1;1;0;0;0;1
R_S4;P_E8;0;0;0;0;0
R_S4;R_X2;1;0;0;0;0
R_S4;R_D2;0;0;0;0;0
R_S4;P_D1;0;0;0;0;0
R_S4;R_X1;0;1;0;1;1
R_S4;P_J1;1;0;0;1;1
R_S4;R_H1;0;1;0;1;0
R_S4;R_I1;0;1;1;0;1
R_S4;P_H1;0;0;1;0;0
R_S4;P_F1;1;0;0;0;0
R_S4;P_G3;0;0;0;0;0
S_L8;S_O1;1;1;0;1;1
S_L8;R_X2;0;1;0;0;1
S_L8;P_D1;0;0;0;0;1
S_L8;P_E2;1;0;0;0;1
S_L8;R_X1;0;1;0;1;1
S_L8;P_J1;1;0;0;0;1
S_L8;R_H1;0;1;1;1;0
S_L8;R_I1;0;1;0;1;0
S_L8;P_H1;0;1;0;1;1
S_L8;P_F1;0;1;0;1;1
S_J5;P_E8;0;1;1;1;0
S_J5;P_D1;1;1;1;0;1
S_J5;R_X1;1;0;0;1;0
S_J5;P_J1;0;0;0;0;1
S_J5;R_H1;0;0;0;0;0
S_J5;R_I1;0;1;0;1;1
S_J5;P_H1;0;0;0;0;0
S_O2;S_O1;0;1;0;1;0
S_O2;P_E8;1;1;0;1;0
S_O2;R_X2;1;0;0;1;0
S_O2;P_D1;0;0;1;0;0
S_O2;R_X1;0;0;0;0;0
S_O2;R_H1;0;1;0;1;0
S_O2;P_H1;1;0;0;0;0
S_O4;S_O1;1;0;0;0;0
S_O4;P_E8;1;0;1;0;0
S_O4;R_X2;1;1;0;0;0
S_O4;R_D2;0;1;0;1;1
S_O4;P_D1;0;0;0;1;1
S_O4;P_E2;0;1;1;1;1
S_O4;R_X1;0;0;0;0;0
S_O4;P_J1;1;1;0;1;1
S_O4;R_H1;1;0;0;1;1
S_O4;R_I1;0;0;0;0;1
S_O4;P_H1;1;0;0;1;1
S_O4;P_F1;1;1;0;1;0
S_O4;P_G3;0;0;0;0;1
R_E2;P_E8;0;0;0;1;1
R_E2;R_X1;0;1;1;0;0
R_E2;P_J1;0;1;0;1;0
R_E2;R_H1;0;1;0;1;0
R_E2;R_I1;0;1;0;1;1
R_E2;P_H1;0;0;0;0;0
R_P1;P_E8;0;0;0;1;1
R_P1;R_X2;1;0;1;0;1
R_P1;P_D1;0;1;1;1;0
R_P1;R_X1;0;0;1;0;0
R_P1;R_H1;0;0;0;0;0
R_P1;R_I1;0;1;1;0;0
R_P1;P_H1;0;1;0;1;0
R_P1;P_F1;1;0;0;0;0
S_O5;P_E6;1;1;0;1;1
S_O5;R_J4;1;0;0;0;0
S_O5;R_J7;1;0;0;0;0
R_N1;P_E6;1;1;0;1;0
R_N1;R_A1;1;1;0;1;1
R_N1;R_A2;0;1;0;1;1
S_J4;P_E6;1;0;0;0;0
R_S3;S_J1;1;0;0;0;0
R_S3;P_C4;0;1;0;1;1
R_S3;P_E6;1;0;0;0;0
R_S3;R_J4;1;0;0;0;0
R_S3;R_A1;0;1;0;1;0
R_S3;S_J6;1;0;0;0;0
R_S3;S_I1;0;0;0;0;0
R_S3;R_J7;1;0;0;0;0
R_S3;R_B2;0;0;0;0;0
R_S3;P_C1;0;1;0;1;0
R_S3;S_K5;0;0;0;0;0
P_K1;P_E6;1;0;0;0;0
P_K1;R_J4;1;0;0;1;0
S_K4;P_E6;1;0;0;0;0
S_K4;R_J4;1;0;0;1;0
S_K4;R_B2;0;0;0;0;0
S_K1;P_E6;1;1;0;0;0
S_K1;R_J4;1;1;0;1;1
S_K1;R_A1;0;1;0;0;1
S_K1;R_B2;1;0;0;0;0
R_T1;S_J1;1;0;0;0;0
R_T1;P_E6;0;0;0;0;0
R_T1;R_J4;0;1;0;1;1
R_T1;S_I1;0;1;0;1;1
R_T1;R_J7;1;1;0;1;0
R_T1;P_C1;0;1;0;1;1
R_T1;S_K5;0;0;0;0;0
R_S4;S_J1;0;1;1;1;1
R_S4;P_E6;0;1;0;1;1
R_S4;S_J6;0;1;0;1;1
R_S4;S_I1;1;0;0;0;1
R_S4;R_J7;0;0;0;0;1
R_S4;R_B2;0;0;0;1;1
R_S4;P_C1;0;0;0;1;1
R_S4;S_K5;0;0;1;0;0
S_L8;P_E6;1;0;0;0;0
